x,y,z
8.444555551819121764e-01,2.143060596675414597e+00,-3.325145173975483814e+00
1.934076887853063198e+00,1.278336288444126723e+00,-4.453024907969633794e+00
-2.146276444065549516e+00,3.301173557875520803e-01,-5.532851244913504773e-01
-1.056655111394398494e+00,-5.346069524437356835e-01,-1.681164858485500790e+00
-1.998572521680681779e+00,4.772557258895011589e-01,-2.229850961036008883e+00
-9.089511890095307578e-01,-3.874685823417866049e-01,-3.357730695030158863e+00
-3.321530410609647710e+00,1.123990003480447086e+00,-1.280537500254476102e+00
-2.231909077938496466e+00,2.592656952491593225e-01,-2.408417234248626304e+00
-3.173826488224780196e+00,1.271128373582396165e+00,-2.957103336799134397e+00
-2.084205155553629396e+00,4.064040653511084011e-01,-4.084983070793284377e+00
-6.426461850741889137e-01,3.301173557875520803e-01,-5.532851244913504773e-01
4.469751475969621080e-01,-5.346069524437356835e-01,-1.681164858485500790e+00
-4.949422626893212329e-01,4.772557258895011589e-01,-2.229850961036008883e+00
5.946790699818298442e-01,-3.874685823417866049e-01,-3.357730695030158863e+00
-1.817900151618287108e+00,1.123990003480447086e+00,-1.280537500254476102e+00
-7.282788189471360862e-01,2.592656952491593225e-01,-2.408417234248626304e+00
-1.670196229233419372e+00,1.271128373582396165e+00,-2.957103336799134397e+00
-5.805748965622683500e-01,4.064040653511084011e-01,-4.084983070793284377e+00
-9.493934323069666004e-01,9.725180439102626417e-01,-9.619278583050383524e-01
1.402279003641844213e-01,1.077937356789748780e-01,-2.089807592299188777e+00
-8.016895099220988641e-01,1.119656414012211609e+00,-2.638493694849696425e+00
2.879318227490521576e-01,2.549321057809238456e-01,-3.766373428843846405e+00
-2.124647398851064573e+00,1.766390691603157537e+00,-1.689180234068163866e+00
-1.035026066179913551e+00,9.016663833718697729e-01,-2.817059968062314290e+00
-1.976943476466196836e+00,1.913529061705106615e+00,-3.365746070612821939e+00
-8.873221437950458146e-01,1.048804753473818963e+00,-4.493625804606971919e+00
5.542368266843940017e-01,9.725180439102626417e-01,-9.619278583050383524e-01
1.643858159355545023e+00,1.077937356789748780e-01,-2.089807592299188777e+00
